Наименование товара,Цена товара,Ссылка на страницу с товаром
 Смарт-лампа для монітора Yeelight Display Light Lamp Pro (YLTD003) (2001002309120) ,2 999 ₴,https://rozetka.com.ua/ua/yeelight-2001002309120/p388680027/
 Настільна лампа Tesla TechToy TSL-LIG-TLAMP ,1 799 ₴,https://rozetka.com.ua/ua/techtoy-tsl-lig-tlamp/p368734668/
 Стельовий смарт-світильник Yeelight Arwen Ceiling Light 450S (YLXD013) (with HomeKit) ,4 999 ₴,https://rozetka.com.ua/ua/yeelight-608887786781/p355892343/
 Настільна смарт-лампа Xiaomi Mi Smart LED Desk Lamp 1S ,1 848 ₴,https://rozetka.com.ua/ua/xiaomi-6934177763113/p423090057/
 Торшер EUROLAMP LED SMART RGBIC 15W 1260 Lm 140cм (чорний) ,2 559 ₴,https://bt.rozetka.com.ua/ua/eurolamp-led-fld-15wrgbb/p455765349/
 Розумна лампочка Nous P8 (5907772033906) ,299 ₴,https://rozetka.com.ua/ua/nous_5907772033906/p292040153/
 Розумна лампочка NOUS P3 (5907772033142) ,299 ₴,https://rozetka.com.ua/ua/nous_p3_5900852028793/p103100208/
 Розумна лампа Govee H6009 Smart Wifi&BLE Light Bulb Білий (H60093C1) ,799 ₴,https://rozetka.com.ua/ua/govee-6974316992745/p400854882/
 Стельовий смарт-світильник Xiaomi Mi Smart LED Ceiling Light (350 mm) ,2 219 ₴,https://rozetka.com.ua/ua/xiaomi-6934177728587/p393622731/
 Смарт лампа Yeelight W3 E27 (YLDP007) ,349 ₴,https://rozetka.com.ua/ua/yeelight-yldp007/p418994106/
 Набір настінних світильників Govee H6065 Y Shape Light Panel 7 шт RGB Білий (H6065301) ,6 899 ₴,https://rozetka.com.ua/ua/govee-6974316993506/p400854975/
 Набір настінних світильників Govee H6067 Tri-angle Light Panels 10 шт RGB Білий (B6067301) ,5 999 ₴,https://rozetka.com.ua/ua/govee-6974316991908/p400854972/
 Стрічка світлодіодна розумна Govee H618A RGBIC Basic Wi-Fi + Bluetooth LED Strip Light 5 м Білий (H618A3D1) ,1 099 ₴,https://rozetka.com.ua/ua/govee-6974316992950/p400854894/
 Розумний світлодіодний настільний SMART світильник Eurolamp 5W LED RGB (Чорний) ,1 369 ₴,https://rozetka.com.ua/ua/eurolamp-led-tl-5wrgb/p455532054/
 Стрічка світлодіодна розумна Govee H618С RGBIC Basic Wi-Fi + Bluetooth LED Strip Light 10 м Білий (H618C3D1) ,1 899 ₴,https://rozetka.com.ua/ua/govee-6974316993520/p400854906/
 Стрічка світлодіодна розумна Govee H619A RGBIC Basic Wi-Fi + Bluetooth LED Strip Light With Protective Coating 5 м Білий (H619A3D1) ,1 599 ₴,https://rozetka.com.ua/ua/govee-6974316990970/p400854897/
 Кутова LED лампа RGB Inspire LD-0465 48LED (LD-0465-1) ,1 249 ₴,https://rozetka.com.ua/ua/inspire-ld-0465-1/p409607130/
 Торшер LEDVANCE SMART WIFI FLOOR ROUND RGB TW 14W 1170Lm 140см Білий (4058075765214) ,3 295 ₴,https://bt.rozetka.com.ua/ua/ledvance-4058075765214/p377168718/
 Розумна LED стрічка Govee RGBIC LED Strip Light 3 м (6974316994190) ,1 186 ₴,https://rozetka.com.ua/ua/govee-6974316994190/p458418669/
 Стрічка Govee Neon Strip Light 4 Meter H61D4C01 ,2 562 ₴,https://rozetka.com.ua/ua/govee-h61d4c01/p453380657/
 Світлодіодні RGB панелі Inspire S002 Pro 70LED (S002-1) ,1 549 ₴,https://rozetka.com.ua/ua/inspire-s002-1/p409607043/
 Набір адаптивного підсвічування Govee H605C Envisual TV Backlight T2 with Dual Cameras 55-65 RGB Чорний (H605C311) ,4 999 ₴,https://rozetka.com.ua/ua/govee-6974316992684/p400854954/
 Розумна лампочка Yeelight GU10 Smart Bulb W1 (Dimmable) White (4-pack) (YLDP004) (2001212162249) ,1 099 ₴,https://rozetka.com.ua/ua/yeelight_2001212162249/p328484302/
 Лампа розумна Philips Hue GU10 5W 2200K-6500K Tunable white 3 шт. (929001953312) ,3 790 ₴,https://rozetka.com.ua/ua/philips-929001953312/p407132268/
 Пульт дистанційного керування Philips Hue Dimmer (929001173770) ,1 190 ₴,https://rozetka.com.ua/ua/philips-929001173770/p307966208/
 Розумна світлодіодна Wi-Fi-стрічка TP-Link 5 м (Tapo L900-5) ,829 ₴,https://rozetka.com.ua/ua/tp-link-tapo-l900-5/p337321753/
" Стартовий комплект Philips Hue White (Bridge, Dimmer, лампа E27 3 шт.) ",5 089 ₴,https://rozetka.com.ua/ua/philips-929001821620/p307962323/
 Світлодіодна стрічка розумна Philips Hue Gradient 0.5W 2000K-6500K RGB подовжувач 1 м (929002995001) ,3 490 ₴,https://rozetka.com.ua/ua/philips-929002995001/p407057343/
 Набір адаптивного підсвічування Govee H604B DreamView G1 Gaming Light 24-29 RGB Сірий (B604B311) ,4 499 ₴,https://rozetka.com.ua/ua/govee-6974316991953/p400854942/
" Розумний, кольоровий Wi-Fi прожектор TP-LINK Tapo L610 ",349 ₴,https://rozetka.com.ua/ua/tp-link-tapo-l610/p402701310/
 Світлодіодні RGB панелі Inspire S043 60LED (S043-1) ,1 549 ₴,https://rozetka.com.ua/ua/inspire-s043-1/p409607007/
 Розумна лампочка Nous P3Z Smart ZigBee Bulb RGB E27 (5905072800358) ,479 ₴,https://rozetka.com.ua/ua/nous-5905072800358/p415311084/
" Комплект ламп Philips Hue E14, 5.5W(40Вт), 2700K, White, Bluetooth, діміруєма, 2 шт (929002039904) ",1 669 ₴,https://rozetka.com.ua/ua/philips_929002039904/p307201503/
 Вуличний світильник на п'єдесталі Philips Hue Turaco 9 Вт (8718696154472) ,6 288 ₴,https://rozetka.com.ua/ua/philips-8718696154472/p425628300/
 Розумна світлодіодна Wi‑Fi стрічк TP-LINK Tapo L900-10 ,1 399 ₴,https://rozetka.com.ua/ua/tp-link-tapo-l900-10/p402701298/
 Світлодіодна стрічка розумна Philips Hue Gradient 0.5W 2000K-6500K RGB подовжувач 1 м (8719514339989) ,3 141 ₴,https://rozetka.com.ua/ua/philips-8719514339989/p418606107/
 Розумна-лампа Govee H6058 (H6058301) ,2 579 ₴,https://rozetka.com.ua/ua/376358130/p376358130/
 Стрічка світлодіодна розумна Govee H61A2 Neon LED Strip Light 5 м Білий (H61A23D1) ,3 999 ₴,https://rozetka.com.ua/ua/govee-6974316991830/p400854945/
" Світильник настільний розумний Philips Hue Signe, 2000K-6500K, RGB, Gradient, ZigBee, Bluetooth, димування 55 см Чорний (915005987001) ",11 790 ₴,https://rozetka.com.ua/ua/philips-915005987001/p355287876/
 Розумний світильник Eve Flare Portable Smart LED Lamp білий (10EBV8701) ,5 276 ₴,https://rozetka.com.ua/ua/eve-10ebv8701/p423840168/
 Світлодіодна стрічка розумна Philips Hue Gradient 0.5W 2000K-6500K RGB 2 м (8719514339965) ,7 704 ₴,https://rozetka.com.ua/ua/philips-8719514339965/p418606104/
 Розумна світлодіодна стрічка Xiaomi Smart Lightstrip Pro 2м ,2 796 ₴,https://rozetka.com.ua/ua/xiaomi-6934177795312/p423090051/
 Розумна лампочка Nous P3Z Smart ZigBee Bulb RGB E27 2 шт. (5905072800365) ,839 ₴,https://rozetka.com.ua/ua/nous-5905072800365/p415332156/
 Розумна лампочка Nous P3Z Smart ZigBee Bulb RGB E27 4 шт. (5905072800372) ,1 559 ₴,https://rozetka.com.ua/ua/nous-5905072800372/p415335120/
 Вбудований смарт-світильник Yeelight LED Downlight M2 5W 350lm 2700 - 6500K (YLTS02YL) ,499 ₴,https://rozetka.com.ua/ua/yeelight-2001002264993/p355892349/
 Розумна лампочка Yeelight Smart LED Bulb 1S (Dimmable) E27 (YLDP15YL) (2001000203499) ,499 ₴,https://rozetka.com.ua/ua/yeelight_2001000203499/p328493131/
